PMID,PLD,Modality
39591782,FALSE,Other (Food chemistry + Sensor data)
39592232,FALSE,
39592459,FALSE,Other (Murine glioma + scRNA + ML)
39593041,FALSE,
39593108,FALSE,
39593765,TRUE,Other (Audio-based cough detection CRNN)
39594192,TRUE,Sensor/Imaging (Lung ultrasound AI)
39595769,FALSE,
39598005,TRUE,Clinical; Administrative database (NIS)
39599008,FALSE,
39601215,FALSE,
39602132,FALSE,
39602442,TRUE,Clinical (AI scribe evaluation)
39602511,FALSE,
39603967,TRUE,Imaging (facial photography; AI grading)
39604572,FALSE,Other (LLM benchmark framework)
39604928,TRUE,Clinical + Qualitative (ethics interviews & focus groups)
39605005,TRUE,Clinical; EHR surveillance (primary care)
39605202,FALSE,
39605463,FALSE,
39605959,TRUE,Clinical; Genomic (multi-gene panel)
39606583,TRUE,Imaging (3D T1-weighted MRI) + Clinical
39607066,TRUE,Clinical (BMI growth trajectories) + Educational outcomes
39608298,FALSE,Other (framework metrics for ML in epilepsy)
39608592,FALSE,Other (Delphi consensus for colonoscopy CADe evaluation)
39608748,FALSE,
39609353,FALSE,
39609459,FALSE,Other (immunopeptidomics for vaccine design)
39610054,FALSE,Textual (AI-generated medical advice evaluation)
39610504,TRUE,"Clinical (T2DM; Vitals, Labs, Demographics)"
39611080,FALSE,
39611113,FALSE,
39614484,FALSE,
39615654,FALSE,
39615789,TRUE,Imaging (Brain MRI & Brain-Age estimates)
39616097,FALSE,
39616218,FALSE,
39616348,FALSE,
39617127,FALSE,
39617204,TRUE,Clinical; Genomic (miRNA biomarker profiling)
39618232,FALSE,
39620388,TRUE,Imaging (Prenatal US features); Clinical Outcome
39621680,FALSE,
39622441,FALSE,Clinical (AI scribe evaluation with clinician feedback)
39622637,FALSE,Other (Single-cell transcriptomics + ML)
39622907,FALSE,
39623072,TRUE,Imaging (diffusion‑weighted MRI) + Clinical
39623970,TRUE,Imaging (FDG‑PET; T1‑MRI; rs‑fMRI) + Clinical
39625129,FALSE,
39625749,FALSE,
39628286,TRUE,Clinical (ACCORD‑BP trial) + Lab (HbA1c variability)
39628576,FALSE,
39633619,FALSE,
39635814,TRUE,Sensor/Behavioral (spiral/line drawing) + Clinical
39636175,FALSE,
39636622,TRUE,"Imaging (3D T1, FLAIR MRI) + Clinical"
39636692,FALSE,
39637380,TRUE,Clinical + Textual (social media posts for suicide risk)
39637459,FALSE,
39637460,FALSE,
39637836,FALSE,
39638906,FALSE,Environmental + Sensor Data
39640828,FALSE,
39642394,TRUE,Imaging (CT) + Clinical (anatomic distances)
39643006,TRUE,Clinical (vaccine response deep-learning)
39643339,FALSE,
39643751,TRUE,Clinical + Proteomic (plasma biomarkers)
39644253,FALSE,
39645171,FALSE,
39647126,FALSE,
39648215,TRUE,Sensor/Imaging (robotics+FES intervention)
39650238,FALSE,
39650505,FALSE,
39652409,FALSE,Other (DEI roadmap via expert focus groups)
39653020,FALSE,
39653400,FALSE,
39655476,TRUE,Imaging (neonatal MRI) + Clinical outcomes
39656546,TRUE,Sensor (accelerometer) + Clinical (paediatric motor assessment)
39656660,FALSE,
39657020,TRUE,Clinical (psoriasis trial metadata)
39657031,FALSE,Other (deep network for HDR brachytherapy plan selection)
39657547,FALSE,
39657609,FALSE,Other (Position statement: AID & physical activity)
39657811,FALSE,
39658630,FALSE,Other (Organoid modeling; PDAC phenotypic heterogeneity)
39658658,TRUE,Clinical & Imaging (hydrocephalus ETV success)
39659945,FALSE,Other (Optical computing data)
39660731,FALSE,
39662201,FALSE,
39663371,FALSE,
39663481,FALSE,
39664064,FALSE,
39664100,FALSE,
39664810,FALSE,
39665730,FALSE,
39665759,FALSE,
39667348,TRUE,Genomic (GWAS CNV & cognition)
39667413,FALSE,
39667899,TRUE,Imaging (diffusion MRI structural connectivity)
39668102,TRUE,Imaging (2D TRUS dose prediction via U‑Net) + Clinical
39669341,TRUE,Imaging (EBUS ultrasound frames) + Clinical
39669520,FALSE,
39670697,FALSE,
39671421,FALSE,
39671447,FALSE,
39671751,FALSE,Imaging (medical)
39672099,FALSE,
39672397,FALSE,
39672905,FALSE,Other (Patient/public participation study)
39673022,FALSE,
39673257,FALSE,
39673635,FALSE,
39673761,FALSE,Other (Causal inference method guide)
39674082,FALSE,
39674292,TRUE,Genomic + Clinical (ML for drug response)
39674431,TRUE,Sensor; Clinical (smartphone pupillometry)
39674512,FALSE,
39674972,FALSE,Other (genetic case report/NDD)
39674995,TRUE,Imaging (ultrasound) + Clinical (CP hip displacement)
39675094,FALSE,Other (Simulation/ML)
39675215,FALSE,
39677374,FALSE,
39678147,FALSE,
39678445,FALSE,Other (Quantum dataset)
39679176,TRUE,Imaging (MRI radiomics) + Clinical (brain mets invasion)
39680491,FALSE,
39680656,FALSE,❓Unknown
39680927,FALSE,
39681007,FALSE,Clinical Imaging + AI-enhanced CT
39681666,TRUE,Clinical; Sensor (NICU physiological data)
39681669,FALSE,Other (review: neonatal AI models)
39682671,TRUE,Clinical; Sensor/EHR (MIMIC-III/IV physiological)
39684694,FALSE,
39684741,TRUE,Clinical; Metabolomic (plasma metabolites + demographics)
39686010,FALSE,
39686185,FALSE,Sensor/Network Performance Data
39686715,FALSE,Experimental + Crystallographic + DFT
39686993,TRUE,Imaging (MRI anatomical features)
39687050,FALSE,
39688491,FALSE,Other (Radiology LLM evaluation methodology)
39689226,FALSE,
39690863,FALSE,
39691042,FALSE,Other (developmental neurobiology – spinal cord)
39693330,FALSE,
39693365,FALSE,
39693600,TRUE,Imaging (retinal fundus) + Clinical (EHR survey)
39693768,FALSE,Simulation (Raman ML for 2D materials)
39694668,FALSE,
39695438,FALSE,
39695938,FALSE,
39696368,TRUE,Clinical; Textual; Imaging (UK Biobank data)
39696866,FALSE,
39696897,FALSE,
39697766,FALSE,
39698476,TRUE,Sensor (auscultation signal) + Clinical
39698820,FALSE,Other (national oral health research strategy)
39699011,FALSE,
39699588,FALSE,
39700255,FALSE,
39700855,FALSE,
39700868,FALSE,
39702564,FALSE,
39703420,FALSE,Other (viral genome assembly pipeline)
39703593,FALSE,
39704505,TRUE,Imaging (4D-CT respiratory motion + radiomics)
39705077,TRUE,Clinical; Textual (social media + pharmacovigilance)
39705390,TRUE,Clinical Trial; Outcomes (dual antiplatelet)
39705642,FALSE,
39705822,FALSE,
39705995,FALSE,
39706536,FALSE,Other (Viewpoint/discussion on AI in writing)
39707182,TRUE,Clinical; Metabolomic (plasma profiling)
39707547,FALSE,Other (mouse EAE neurobiology + gait analysis)
39707583,FALSE,
39708349,FALSE,Other (Systematic review ML in dermatology)
39708378,FALSE,
39708495,FALSE,Other (physics-informed neural networks model)
39708623,TRUE,Clinical; LLM diagnostic prompts + imaging
39709028,TRUE,Clinical (VMAT planning eval across centres)
39711253,FALSE,
39712978,TRUE,Imaging (H&E tissue microarrays) + Clinical (biochemical recurrence)
39714272,TRUE,Clinical; Speech (longitudinal audio)
39715925,FALSE,Other (consortium paper/proteomic reference correction)
39719299,TRUE,Imaging (pelvic radiographs) + Clinical progression prediction
39719330,TRUE,Qualitative (Interviews/focus groups with older adults)
39719598,FALSE,Genomic/Transcriptomic (Fungal gene expression)
39719599,TRUE,Imaging (retinal microglia morphology) + Clinical (AD vs control)
39720035,FALSE,
39720055,FALSE,
39721133,FALSE,
39721995,FALSE,
39723488,TRUE,Imaging (WMH MRI segmentation)
39725502,FALSE,
39725763,FALSE,
39726894,FALSE,
39727789,TRUE,Qualitative (French human-centered co-creation)
39729343,FALSE,
39729407,FALSE,Simulation + Sensor Data (EEG model simulations)
39730835,FALSE,
39732288,TRUE,Clinical (varicose vein treatment ML)
39732570,TRUE,"Clinical (cardiac surgery, SIRS prediction)"
39732618,FALSE,
39732824,TRUE,"Sensor + Clinical (sleep biomarkers, neurodegeneration)"
39733351,FALSE,Other (3D medical shape dataset)
39733410,FALSE,
39735354,FALSE,
39735514,TRUE,Imaging & Clinical (functional/structural MRI gradients)
39735827,FALSE,
39736318,FALSE,
39736714,TRUE,Clinical & Textual (survey + NLP topic modeling)
39736875,FALSE,Other (microscopy imaging deep learning)
39737572,FALSE,
39737701,FALSE,
39738228,FALSE,
39739290,FALSE,
39740646,TRUE,Clinical; LLM evaluation (radiology image Q&A)
39742143,TRUE,Imaging (OCT fluid segmentation) + Clinical outcomes
39742823,FALSE,
39746249,FALSE,
39747029,FALSE,
39747232,FALSE,
39747823,FALSE,
39748023,FALSE,
39748372,FALSE,
39749902,FALSE,Other (Theoretical chemistry: energy predictions)
39751971,TRUE,Clinical; Proteomic biomarkers for sepsis
39752524,FALSE,
39753139,TRUE,Genomic; Cancer molecular subtyping (TCGA)
39753324,FALSE,Other; Social media perspectives (robotic THA)
39753404,TRUE,Clinical trial; Telemedicine decision support
39754386,TRUE,Clinical; Patient-reported symptoms in early PD
39754799,FALSE,
39755686,FALSE,Other — Spatial proteomics (cell-level segmentation corrections)
39756276,FALSE,
39758829,FALSE,Genomic + Clinical-grade Computational (CRISPR off-target)
39760657,FALSE,Other — Guideline/Review (cancer AI standards)
39761942,TRUE,Clinical — Imaging (ocular metastases CT/MRI/clinical data)
39762426,FALSE,Other — Policy/Consortium Statement (AI clinical trials)
39765174,FALSE,
39766395,FALSE,
39766451,TRUE,Imaging + Clinical (multimodal brain age estimation)
39767941,TRUE,Clinical (neonatal preterm)
39771146,FALSE,
39771685,FALSE,
39771696,FALSE,Other (AR‑enhanced robotic system for epidurals)
39771697,FALSE,Sensor (vibroacoustic signals from transformers)
39771775,FALSE,
39771944,TRUE,Sensor (plantar-pressure gait data)
39772389,FALSE,
39772578,TRUE,Imaging (cervical CT) + Clinical
39772751,FALSE,
39773407,FALSE,
39773470,FALSE,Other (editorial on AI blind spots in colonoscopy)
39774637,FALSE,
39775089,FALSE,
39775867,FALSE,
39776222,FALSE,
39779161,FALSE,
39779744,FALSE,
39780148,TRUE,Clinical; Demographics & Oral Health Behaviors + Survey
39780220,FALSE,
39782776,FALSE,
39786948,TRUE,Sensor/EEG (BIS subparameters) + Clinical
39787028,FALSE,
39787636,TRUE,Clinical; Textual (NLP from EHR)
39787711,FALSE,
39787745,FALSE,
39789002,FALSE,Other; Sensor/Hardware Integration (mm‑wave radar)
39789212,FALSE,
39790568,FALSE,
39794312,FALSE,
39794442,FALSE,
39794466,FALSE,Other; Proteomics (noncanonical peptides discovery)
39795566,TRUE,Imaging (DTI + DSC-perfusion MRI) + Clinical
39796687,TRUE,Imaging (CT radiomics) + Clinical
39797895,FALSE,Other (LLM deployment framework for dermatology trial enrolment)
39798395,FALSE,
39799226,TRUE,Imaging (CT scan 2D/3D) + Clinical
39799370,TRUE,Clinical/EHR data + Administrative (Nova Scotia Health)
39799515,FALSE,
39800329,FALSE,
39801186,FALSE,
39802089,FALSE,Other (survival modeling methodology)
39802233,TRUE,Clinical (occupational data for TB)
39802645,FALSE,
39802889,FALSE,Other (medical education assessment)
39803866,FALSE,Other (continence care guideline debate)
39807280,FALSE,Textual (Education policy review)
39807805,FALSE,
39807876,FALSE,
39808513,FALSE,
39808641,FALSE,
39808977,FALSE,
39808995,TRUE,Imaging & Clinical (non‑contrast CT biometrics)
39809211,FALSE,
39809737,TRUE,Cellular immune profiling (single-cell PBMC + lipid metabolomics)
39810347,FALSE,Other – Serum glycoproteomic biomarker discovery
39810724,TRUE,Clinical + Metabolomic (prospective cohort on GDM progression)
39811702,TRUE,Imaging (tau PET) + Cognitive (neuropsych testing with ML)
39812653,FALSE,
39812845,TRUE,Imaging (muscle MRI) + Clinical + Genomic
39813069,FALSE,
39813181,TRUE,Textual (SMS messaging communications) + Clinical metadata
39814599,FALSE,Sensor + Environmental (methane emissions ML)
39817622,TRUE,Clinical; Lab parameters (routine labs) + ML model
39818746,FALSE,
39818777,FALSE,
39820157,FALSE,
39820318,FALSE,Other (histology annotation platform – PHARAOH)
39821434,FALSE,
39823404,TRUE,Clinical; EHR sociodemographic data + Textual extraction with ML
39823426,TRUE,Clinical; Survival analysis via novel ML framework (CASE)
39823631,FALSE,
39826289,FALSE,
39826393,TRUE,Imaging (CT perfusion maps) + Clinical
39826701,TRUE,Clinical Trial Data with ML-derived individualized treatment effects
39827452,FALSE,
39827837,FALSE,
39830285,TRUE,Clinical + Textual + Imaging (rs-fMRI connectivity + SDoH + behavior)
39830613,FALSE,
39831736,TRUE,Imaging (T1/T2 MRI)
39832365,FALSE,
39834107,TRUE,Clinical (ACL performance metrics pre/post reconstruction)
39834226,FALSE,
39835208,FALSE,
39835803,FALSE,
39836730,TRUE,Imaging (echocardiographic 2D video via DL) + Clinical
39837138,FALSE,
39837701,FALSE,Other (junior review article)
39838298,FALSE,
39839757,FALSE,
39840026,TRUE,Imaging (smartphone thermal) + Clinical (perforator mapping)
39840676,FALSE,
39841813,FALSE,
39842544,FALSE,
39842913,TRUE,Mixed (Quantitative literature + Qualitative interviews)
39843189,FALSE,Other (Practice commentary)
39843581,FALSE,
39843750,TRUE,Genomic (GWAS multi-ancestry bipolar disorder)
39843761,FALSE,
39843763,FALSE,
39843939,FALSE,
39845288,FALSE,Other (clinical text deidentification tool)
39847319,TRUE,Clinical Survey (Political psychology)
39847938,FALSE,
39847948,TRUE,Imaging (colposcopic photos) + Clinical
39850777,TRUE,Imaging (non-gated chest CT) + Clinical
39850956,FALSE,
39852221,FALSE,Other (protocol for AI-powered mobility tools in older adults)
39852387,FALSE,
39853655,FALSE,
39853720,FALSE,Other (validation of PEACE EGD cleanliness scale)
39854253,FALSE,
39854656,FALSE,
39855805,FALSE,Sensor + Environmental ML
39855986,TRUE,Clinical + Imaging (preoperative appendicitis ML)
39856126,FALSE,Sensor + Environmental ML
39856155,FALSE,
39856390,FALSE,
39856756,FALSE,
39858067,TRUE,Imaging (PET/CT radiomics) + Clinical
39860799,FALSE,Other (Wearable sensor robustness evaluation)
39860957,TRUE,Sensor/Optical (compact QCL-based glucose) + Clinical
39862571,FALSE,
39863243,TRUE,Sensor + EEG (Behavioral & neural signals)
39864569,FALSE,
39865933,FALSE,
39866856,FALSE,
39866886,FALSE,
39867531,FALSE,
39867738,FALSE,
39867841,FALSE,
39869052,FALSE,Imaging + Sensor (Yeast cell microscopy + ML)
39869304,FALSE,
39869672,TRUE,"Clinical Trial (cardiovascular plaque, RCT)"
39869810,FALSE,
39869912,FALSE,
39870865,FALSE,
39871025,FALSE,
39871351,FALSE,
39871444,FALSE,
39873499,FALSE,
39873860,TRUE,Imaging (rs-fMRI network homogeneity) + Clinical
39874677,TRUE,Imaging (lung ultrasound) + Clinical
39874684,FALSE,Imaging (MRI spinal cord segmentation)
39875294,FALSE,Textual + Metadata (Publication authorship analysis)
39875423,FALSE,
39875505,FALSE,
39875869,TRUE,Clinical + Genomic (SARS‑CoV‑2 + clinical predictors)
39877429,FALSE,
39878999,FALSE,
39879089,FALSE,
39879563,FALSE,
39881644,FALSE,Other (review/opinion on addiction medicine advances)
39882161,TRUE,Clinical (NLP/text + imaging) prediction of psychosis conversion
39882168,TRUE,Imaging (CMR metrics like LGE/edema) + Clinical (ICI‑M diagnosis)
39883649,FALSE,
39885307,FALSE,
39887196,FALSE,Other (Materials chemistry – battery polymers)
39888607,TRUE,Sensor (smartwatch inertial data) + Clinical assessments
39888985,FALSE,
39889232,TRUE,"Textual (EMS PCR notes, ChatGPT output) + Clinical reference"
39889245,TRUE,Imaging (digital histopath slides) + Clinical trial outcomes
39890228,TRUE,Clinical + Textual + Demographic (social/health disparity ML)
39890587,FALSE,
39890783,FALSE,Textual (NLP analysis of national climate docs)
39890848,TRUE,Clinical & Imaging (VQI registry TCAR procedures)
39891994,FALSE,
39893183,FALSE,
39896021,FALSE,
39896051,FALSE,
39896145,FALSE,
39896624,FALSE,
39897501,FALSE,
39897541,TRUE,Cellular Genomics (patient-specific PAH hPMEC transcriptomics)
39897572,FALSE,Other (RCD methodology review)
39898310,FALSE,
39898548,FALSE,
39900787,TRUE,Clinical; EWS vs ML latent health representations
39901778,FALSE,
39903072,FALSE,
39903682,FALSE,
39904047,FALSE,
39905140,FALSE,Other; Wearable data with label noise & human refinement
39905466,FALSE,
39906044,FALSE,
39906065,FALSE,
39906543,FALSE,
39908277,TRUE,Survey (ChatGPT use in higher education students)
39910290,FALSE,Other; Institutional framework for ethical AI
39911337,FALSE,
39911557,FALSE,Other; Platform for personalized ASD care
39912640,FALSE,
39914162,FALSE,
39914417,FALSE,Other (oncology commentary)
39915053,FALSE,Other (conference proceedings summary)
39915959,FALSE,Other (MS proteomics workflow)
39917060,FALSE,
39919138,TRUE,Sensor + Textual (smartphone digital phenotyping)
39919314,FALSE,
39919385,FALSE,Other (veterinary insurance ML)
39919411,FALSE,
39919748,FALSE,Sensor + Imaging + Spatial Transcriptomics (mouse NSCs)
39920123,FALSE,
39920503,TRUE,Clinical; Sensor & Ventilatory variables
39921557,FALSE,
39921576,FALSE,
39921727,FALSE,
39922281,TRUE,Clinical; LLM-based vaccine response analysis
39922413,FALSE,Environmental + Big Data (groundwater microbiology)
39922810,FALSE,
39925268,TRUE,Clinical; ECG + Imaging + EGM & Lifestyle data
39929894,FALSE,
39930139,FALSE,
39930743,FALSE,
39931096,FALSE,
39931318,FALSE,Other; EHR decision-support development
39933043,FALSE,Other (no abstract found)
39933053,FALSE,Other (systematic review of predictive models for post-ERCP PEP)
39933211,TRUE,Biochemical (saliva hormones; ELISA vs LC-MS/MS)
39933253,FALSE,
39933269,FALSE,Molecular Dynamics + QM/MM (SARS‑CoV‑2 Mᵖʳᵒ inhibition)
39933666,FALSE,
39934670,FALSE,
39934908,FALSE,
39935506,FALSE,
39935956,FALSE,
39939711,TRUE,Genomic (circulating microRNAs) + Clinical (AIS severity prognostic)
39943298,TRUE,Sensor (accelerometry during daily tasks) + Clinical (CP function)
39943430,FALSE,
39943622,FALSE,
39943856,FALSE,
39945115,FALSE,
39946412,FALSE,
39947781,FALSE,
39947992,TRUE,Clinical & Imaging + ML (high-sensitivity troponin)
39948003,TRUE,"Multi-omic (plasma, synovial, urine miRNA + metabolomics)"
39948393,FALSE,
39948641,FALSE,
39949129,TRUE,Textual (EMR notes) + LLM (LLM surveillance for HAI)
39949161,FALSE,
39951285,FALSE,Other (polygenic risk score tool)
39952550,TRUE,Imaging (pediatric TMJ MRI segmentation + classification)
39953105,FALSE,
39953142,TRUE,Sensor & Clinical (driving behavior + depression)
39953289,TRUE,Clinical; Imaging and Procedural (AI‑guided AF ablation RCT)
39953355,FALSE,
39955398,FALSE,Other (self‑supervised dataset cleanup in federated learning)
39955608,FALSE,
39955616,TRUE,Clinical; Immunologic & Veterinary (canine osteosarcoma trial)
39956264,FALSE,Educational Policy (pharmacology curricula review)
39956806,FALSE,
39959563,FALSE,
39960578,FALSE,
39960872,FALSE,
39961605,TRUE,Imaging/Clinical (pathology scores)
39961912,FALSE,
39962045,FALSE,
39965195,FALSE,
39965473,TRUE,Clinical; Imaging & Clinical (MS progression time-to-event)
39965740,TRUE,Genomic (GWAS asthma severity)
39965945,FALSE,Textual (Canadian AI in healthcare scoping review)
39968539,FALSE,Other (dashboard co-design)
39968546,FALSE,Other (AI implementation strategy)
39968547,FALSE,Other (Qualitative survey of healthcare professionals)
39968552,FALSE,
39968560,FALSE,
39968562,FALSE,Other (conceptual digital dementia tool)
39968563,FALSE,
39969962,FALSE,
39970054,TRUE,Clinical (diet and bone health)
39970977,FALSE,"Other (cost-effectiveness modeling, drone AED delivery)"
39972104,FALSE,Imaging/AI (CNN simulating visual cortex degeneration)
39973876,FALSE,
39975240,FALSE,
39975425,TRUE,"Imaging (vertex-wise brain sulcal depth, curvature, thickness) + Clinical"
39975842,FALSE,
39976703,FALSE,
39976857,FALSE,
39977307,FALSE,Other (RNN modeling plasticity/dynamics)
39978014,FALSE,
39978174,TRUE,Clinical (longitudinal multicenter cohort)
39979183,TRUE,Imaging (3D Ultrasound)
39979257,FALSE,❓Unknown
39980664,FALSE,
39982117,FALSE,
39982930,TRUE,"Imaging (rs-fMRI: fALFF, ReHo) + Clinical + Demographics"
39983007,FALSE,
39983282,FALSE,
39983647,FALSE,
39983650,FALSE,
39984362,FALSE,
39984553,FALSE,
39985144,FALSE,
39985309,TRUE,"Imaging (DTI, deformation-based morphometry) + Clinical"
39986844,FALSE,
39987144,FALSE,
39987437,FALSE,
39987832,FALSE,
39989135,FALSE,
39989910,FALSE,Other (Open-source imaging software)
39990273,TRUE,Imaging (T1 MRI + DBM) + Clinical (neuropsych testing)
39990570,TRUE,"Clinical (baseline labs, antibody titers, viral load)"
39996880,TRUE,Genomic (whole-genome & transcriptome sequencing) + Clinical decision-making
39990959,FALSE,
39992653,TRUE,"Clinical, Imaging & Environmental + Epigenomic"
39993226,TRUE,Clinical & Textual (free-text patient experience surveys + NLP)
39993313,FALSE,
39994118,FALSE,
39995377,FALSE,
39996880,TRUE,Clinical & Genomic (whole-genome/transcriptome sequencing)
39997158,TRUE,Sensor/Auditory (Age-related AI speech identification)
39999879,FALSE,Other (ML optimization + mechanical design)
40001842,FALSE,
40002280,TRUE,Clinical (longitudinal COVID-19 cancer cohort)
40003977,FALSE,
40004209,FALSE,
40005389,TRUE,Clinical & Sensorimotor Rehab (EMG & robotic-assisted rehab)
40006235,FALSE,
40006312,FALSE,
40006355,FALSE,Sensor (hand gesture via Leap Motion + causal ML)
40006404,FALSE,Sensor + Vehicle Dynamics (electric vehicle braking)
40008946,FALSE,Sensor + Electronic Physics (delta‑T noise)
40008968,TRUE,Clinical + Imaging (chest X‑ray CXR)
40010162,FALSE,
40012896,FALSE,
40014814,FALSE,
40015191,FALSE,
40015982,FALSE,
40016861,FALSE,
40017797,FALSE,
40017908,FALSE,
40019201,FALSE,Other (Software tool for molecular modeling via ML)
40019821,FALSE,
40020876,TRUE,Imaging (pathology slides)
40021833,TRUE,Genomic (nanopore epigenomic)
40022253,FALSE,
40023050,FALSE,
40023176,TRUE,Clinical (DOAC vs none in ICH+AF)
40027119,FALSE,Other (oART training curriculum)
40027338,FALSE,Sensor + Time-series ML (industrial data)
40028128,FALSE,
40028654,TRUE,Imaging (sMRI texture analysis)
40035037,FALSE,
40037055,TRUE,Imaging + Tabular (EHR clinical/integration via hypernetwork)
40040965,FALSE,
40041037,FALSE,
40046346,FALSE,
40059323,FALSE,
40060479,FALSE,
40060526,FALSE,Computational Neuroscience (spiking HD model)
40066012,FALSE,
40067846,FALSE,
40070487,FALSE,Other (conference proceedings – neuromodulation/DBS)
40071099,TRUE,Imaging (CT lung) + Clinical (lung cancer prediction)
40076446,FALSE,
40083295,FALSE,
40087085,FALSE,
40091888,TRUE,Clinical + Imaging + Tabular (kidney transplant clustering)
40092525,FALSE,
40098374,FALSE,
40099144,FALSE,Opinion/Textual (mental health AI)
40100864,FALSE,Other (scoping review of pain/symptom maps)
40103927,TRUE,"Clinical (multi-modal biomarkers, cognitive)"
40104696,TRUE,Genomic + Clinical (ICDRS ovarian cancer prognosis)
40110227,FALSE,Sensor + Imaging (optical neuroimaging)
40121807,TRUE,Imaging (sulcal pattern graphs) + Clinical Subtype Interpretation
40123640,FALSE,Textual (conceptual analysis)
40125292,FALSE,
40131365,FALSE,
40138322,FALSE,
40144085,TRUE,Textual (survey on medical students' AI readiness)
40147056,TRUE,"Clinical (labs, treatments, time-series features)"
40152019,FALSE,Other (AI‑powered virtual tumor board implementation)
40160858,TRUE,Clinical + Imaging (metabolomics + XAI in heart failure)
40161559,FALSE,
40166696,FALSE,
40176873,FALSE,
40179121,FALSE,
40180531,FALSE,
40182983,TRUE,Imaging (fundus photos) + Clinical
40199288,FALSE,Other (social media–based precision prevention case reports)
40217440,FALSE,
40224573,FALSE,
40230682,FALSE,
40256199,FALSE,
40264860,FALSE,Omics & Clinical (immune‑glycolytic signature in HCC from TCGA/GEO)
40270567,TRUE,Sensor + Clinical (BCI-powered power mobility in children with disabilities)
40270591,TRUE,Metabolomics + Genomics + XAI (Down syndrome biomarkers via plasma LC‑MS)
40270958,TRUE,Transcriptomic + ML (blood interferome signatures in uveitis patients)
40272881,FALSE,
40290270,FALSE,Other (framework for AI deployment in remote/Indigenous Canadian communities)
40302730,FALSE,
40308295,FALSE,
40313867,FALSE,
40336660,FALSE,Other (ML/AI in CPR review)
40322527,FALSE,
40432773,TRUE,Neurophysiology (thalamic firing + connectivity)
40337261,FALSE,Sensor + Environmental ML (coral reefs)
40343925,FALSE,
40344152,FALSE,
40353026,FALSE,
40353029,FALSE,
40359182,FALSE,
40378117,FALSE,
40403028,FALSE,
40407404,TRUE,Survey/Textual (oncology patient views)
40421375,FALSE,
40424440,FALSE,
40452951,TRUE,Imaging + Clinical + XAI
40435158,FALSE,
40440093,FALSE,
40440289,FALSE,
40448324,FALSE,
40314028,FALSE,Other (AI-generated educational content)
