"pid","x","modalities","modalities2"
"32317241","[""prostate brachytherapy""], [""Dosimetry"", ""Treatment plan modifications""]","[""prostate brachytherapy""]","[""Dosimetry"", ""Treatment plan modifications""]"
"32318076",NULL,"[""Bioclinical data""]",NULL
"32319263","[""Raman spectroscopy""], [""Raman spectroscopy""]","[""Raman spectroscopy""]","[""Raman spectroscopy""]"
"32325033","[""Biochemistry"", ""Neurology"", ""Pharmacology and Experimental Therapeutics""], [""Biomechanical signals, Physiological signals""]","[""Biochemistry"", ""Neurology"", ""Pharmacology and Experimental Therapeutics""]","[""Biomechanical signals, Physiological signals""]"
"32326349","[""Smart homes""], [""Spatial"", ""Temporal""]","[""Smart homes""]","[""Spatial"", ""Temporal""]"
"32328674","[""Hand Radiographs""], [""X-ray""]","[""Hand Radiographs""]","[""X-ray""]"
"32328990",NULL,NULL,NULL
"32329074","[""Computed Tomography""], [""Computed Tomography""]","[""Computed Tomography""]","[""Computed Tomography""]"
"32329723",NULL,NULL,NULL
"32333121","[""brain extracts"", ""NMR"", ""DI/LC-MS/MS""], [""metabolomics"", ""NMR and DI/LC-MS/MS""]","[""brain extracts"", ""NMR"", ""DI/LC-MS/MS""]","[""metabolomics"", ""NMR and DI/LC-MS/MS""]"
"32335226","[""Local Class Imbalance"", ""Artificial Neural Networks"", ""Support Vector Machines"", ""Random Forests""], [""Image"", ""Other clinical data""]","[""Local Class Imbalance"", ""Artificial Neural Networks"", ""Support Vector Machines"", ""Random Forests""]","[""Image"", ""Other clinical data""]"
"32348182","[""FDG PET"", ""CT"", ""PET/CT""], [""PET images""]","[""FDG PET"", ""CT"", ""PET/CT""]","[""PET images""]"
"32356095","[""Ultrasound imaging"", ""RF data""], [""Ultrasound image""]","[""Ultrasound imaging"", ""RF data""]","[""Ultrasound image""]"
"32361562",NULL,NULL,"[""demographic""]"
"32365192","[""blood""], [""MicroRNA""]","[""blood""]","[""MicroRNA""]"
"32366785","[""Amyloid PET"", ""FDG PET""], [""PET""]","[""Amyloid PET"", ""FDG PET""]","[""PET""]"
"32369563","[""Tensor""], [""tensor factorization"", ""deep neural network""]","[""Tensor""]","[""tensor factorization"", ""deep neural network""]"
"32372384","[""Temporal Enhanced Ultrasound (TeUS)"", ""Apparent Diffusion Coefficient (ADC)"", ""Magnetic Resonance Imaging (MRI)""], [""MRI"", ""Ultrasound""]","[""Temporal Enhanced Ultrasound (TeUS)"", ""Apparent Diffusion Coefficient (ADC)"", ""Magnetic Resonance Imaging (MRI)""]","[""MRI"", ""Ultrasound""]"
"32379801","[""Optoelectronic system"", ""Markers""], [""marker positions on FOs surfaces""]","[""Optoelectronic system"", ""Markers""]","[""marker positions on FOs surfaces""]"
"32383971","[""Administrative health data""], []","[""Administrative health data""]","[]"
"32387817",NULL,"[]",NULL
"32388549","[""text""], [""text""]","[""text""]","[""text""]"
"32396346","[""Metaproteomic"", ""Proteomics""], [""proteomics"", ""metaproteomics""]","[""Metaproteomic"", ""Proteomics""]","[""proteomics"", ""metaproteomics""]"
"32399513","[""Digital biomarkers""], [""digital biomarkers""]","[""Digital biomarkers""]","[""digital biomarkers""]"
"32399621","[""PET/CT""], [""PET/CT""]","[""PET/CT""]","[""PET/CT""]"
"32404485","[""Coronary Angioscopy""], [""Images""]","[""Coronary Angioscopy""]","[""Images""]"
"32406850","[""Text""], [""AI"", ""Health Technology Assessment""]","[""Text""]","[""AI"", ""Health Technology Assessment""]"
"32407457","[""Gene"", ""Expression""], [""Gene expression"", ""DNA methylation"", ""Copy number alteration""]","[""Gene"", ""Expression""]","[""Gene expression"", ""DNA methylation"", ""Copy number alteration""]"
"32409507","[""Video""], [""video""]","[""Video""]","[""video""]"
"32409715","[""Medical Imaging""], [""3D inputs"", ""Multi-scale input""]","[""Medical Imaging""]","[""3D inputs"", ""Multi-scale input""]"
"32410265",NULL,"[""Administrative databases""]",NULL
"32413546","[""Computed Tomography (CT)""], [{""Dose-volume histograms (DVHs)"": true}, {""Computed tomography images"": true}]","[""Computed Tomography (CT)""]","[{""Dose-volume histograms (DVHs)"": true}, {""Computed tomography images"": true}]"
"32424317","[""structural and functional network profiling"", ""biophysical simulations""], [""structural and functional network profiling"", ""biophysical simulations""]","[""structural and functional network profiling"", ""biophysical simulations""]","[""structural and functional network profiling"", ""biophysical simulations""]"
"32426059","[""Near Infrared Spectroscopy""], [""Near infrared spectroscopy""]","[""Near Infrared Spectroscopy""]","[""Near infrared spectroscopy""]"
"32426346","[""3-dimensional (3D) trajectory data""], [""3D trajectory data""]","[""3-dimensional (3D) trajectory data""]","[""3D trajectory data""]"
"32444812",NULL,NULL,"[""Text""]"
"32433583","[""3T"", ""FLAIR""], [""Image"", ""Survey""]","[""3T"", ""FLAIR""]","[""Image"", ""Survey""]"
"32434127","[""CT"", ""angiography""], [""CT Scan"", ""MRI""]","[""CT"", ""angiography""]","[""CT Scan"", ""MRI""]"
"32437969","[""Micro-Computed Tomography""], [""Micro-computed Tomography""]","[""Micro-Computed Tomography""]","[""Micro-computed Tomography""]"
"32439869","[""Clinical notes"", ""Lab tests"", ""Billing codes""], [""text"", ""image""]","[""Clinical notes"", ""Lab tests"", ""Billing codes""]","[""text"", ""image""]"
"32440643",NULL,"[""Visual""]",NULL
"32441656","[""Infrared Video""], [""Video"", ""Body movements""]","[""Infrared Video""]","[""Video"", ""Body movements""]"
"32442307","[""Metabolomics"", ""Gene expression"", ""Copy number"", ""Mutation profiles""], [""omics"", ""pharmacological""]","[""Metabolomics"", ""Gene expression"", ""Copy number"", ""Mutation profiles""]","[""omics"", ""pharmacological""]"
"32445550","[""Epidemiological data"", ""Clinical symptoms"", ""CT nodule-based radiomic features"", ""Tumor biomarkers""], [""epidemiological data"", ""clinical symptoms"", ""tumor biomarkers"", ""CT nodule-based radiomic features""]","[""Epidemiological data"", ""Clinical symptoms"", ""CT nodule-based radiomic features"", ""Tumor biomarkers""]","[""epidemiological data"", ""clinical symptoms"", ""tumor biomarkers"", ""CT nodule-based radiomic features""]"
"32446241","[""fMRI""], [{""Details"": null, ""Modality"": ""fMRI""}, {""Details"": null, ""Modality"": ""ICNs functional connectivity""}]","[""fMRI""]","[{""Details"": null, ""Modality"": ""fMRI""}, {""Details"": null, ""Modality"": ""ICNs functional connectivity""}]"
"32449747","[""Operational Taxonomic Units""], [{""modality"": ""microbiome data""}, {""modality"": ""operational taxonomic units (OTUs)""}]","[""Operational Taxonomic Units""]","[{""modality"": ""microbiome data""}, {""modality"": ""operational taxonomic units (OTUs)""}]"
"32467650","[""France""], [""Pathology""]","[""France""]","[""Pathology""]"
"32452574","[""Functional MRI"", ""Magnetic resonance imaging"", ""White matter""], [""magnetic resonance imaging"", ""fMRI""]","[""Functional MRI"", ""Magnetic resonance imaging"", ""White matter""]","[""magnetic resonance imaging"", ""fMRI""]"
"32453488","[""Brain MRI"", ""Synthetic MRI""], [""brain MRI""]","[""Brain MRI"", ""Synthetic MRI""]","[""brain MRI""]"
"32454115","[""Magnetic resonance imaging"", ""Diffusion tensor imaging""], [""MRI""]","[""Magnetic resonance imaging"", ""Diffusion tensor imaging""]","[""MRI""]"
"32455927","[""Accelerometer"", ""Motion""], [""Accelerometer"", ""Motion data""]","[""Accelerometer"", ""Motion""]","[""Accelerometer"", ""Motion data""]"
"32462314","[""Chest X-ray scans""], [""radiographs""]","[""Chest X-ray scans""]","[""radiographs""]"
"32463180","[null], [""Text"", ""Image""]","[null]","[""Text"", ""Image""]"
"32464565","[""Computed Tomography""], [""Image""]","[""Computed Tomography""]","[""Image""]"
"32473064","[""Image""], [""Medical images"", ""Patient information""]","[""Image""]","[""Medical images"", ""Patient information""]"
"32473385","[""miRNA""], [""miRNA""]","[""miRNA""]","[""miRNA""]"
"32474393",NULL,NULL,"[""geriatric syndromes"", ""functional assessments""]"
"32475986",NULL,"[""Three-dimensional""]",NULL
"32477638",NULL,NULL,NULL
"32477683","[""Clinical"", ""Molecular""], [{""Tag"": [], ""Name"": null}, {""Tag"": [""Blood tests""], ""Name"": ""Clinical""}, {""Tag"": [], ""Name"": null}]","[""Clinical"", ""Molecular""]","[{""Tag"": [], ""Name"": null}, {""Tag"": [""Blood tests""], ""Name"": ""Clinical""}, {""Tag"": [], ""Name"": null}]"
"32493224",NULL,"[""Saliva""]",NULL
"32493228","[""text""], []","[""text""]","[]"
"32500070","[""ECG""], [""ECG"", ""electrophysiology""]","[""ECG""]","[""ECG"", ""electrophysiology""]"
"32501805",NULL,"[""SMS text messaging""]",NULL
"32508229","[""Neuromuscular Electrical Stimulation"", ""Robotic measures""], [""neuromuscular electrical stimulation"", ""robotic measures""]","[""Neuromuscular Electrical Stimulation"", ""Robotic measures""]","[""neuromuscular electrical stimulation"", ""robotic measures""]"
"32509975","[""Text""], [""Text"", ""None""]","[""Text""]","[""Text"", ""None""]"
"32515116","[""Text""], [""numerical ratings"", ""written reviews""]","[""Text""]","[""numerical ratings"", ""written reviews""]"
"32531021","[""accelerometer""], [""accelerometer""]","[""accelerometer""]","[""accelerometer""]"
"32532358","[""Force myography""], [""force myography"", ""anthropometric measures""]","[""Force myography""]","[""force myography"", ""anthropometric measures""]"
"32533137","[""Nuclear Medicine"", ""Cardiovascular""], [""ECG"", ""Imaging""]","[""Nuclear Medicine"", ""Cardiovascular""]","[""ECG"", ""Imaging""]"
"32535888","[""Laboratory data"", ""Echocardiographic assessment"", ""Electrocardiographic P-wave indices""], {""Modality"": [{""Name"": ""electrocardiographic P-wave indices""}, {""Name"": ""echocardiographic assessment""}, {""Name"": ""neutrophil-to-lymphocyte ratio (NLR)""}, {""Name"": ""prognostic nutritional index (PNI)""}]}","[""Laboratory data"", ""Echocardiographic assessment"", ""Electrocardiographic P-wave indices""]","{""Modality"": [{""Name"": ""electrocardiographic P-wave indices""}, {""Name"": ""echocardiographic assessment""}, {""Name"": ""neutrophil-to-lymphocyte ratio (NLR)""}, {""Name"": ""prognostic nutritional index (PNI)""}]}"
"32536605","[""Faecal""], {""Microbiome data"": true}","[""Faecal""]","{""Microbiome data"": true}"
"32540846",NULL,NULL,NULL
"32542034","[""Finite Element Method"", ""Electromagnetic equations""], [""Computer Tomography"", ""Microwave Ablation""]","[""Finite Element Method"", ""Electromagnetic equations""]","[""Computer Tomography"", ""Microwave Ablation""]"
"32544823",NULL,"[""Interview"", ""Movement""]",NULL
"32554169","[""CT""], [""Computed Tomography""]","[""CT""]","[""Computed Tomography""]"
"32554374","[""Text-based conversations""], Text","[""Text-based conversations""]","Text"
"32555410","[""Histopathology""], [""histologic tissue components"", ""nuclei maps"", ""lumina maps""]","[""Histopathology""]","[""histologic tissue components"", ""nuclei maps"", ""lumina maps""]"
"32558750","[""Audiometric"", ""Numerical"", ""Text""], [""Text"", ""Numerical""]","[""Audiometric"", ""Numerical"", ""Text""]","[""Text"", ""Numerical""]"
"32561782","[""MRI"", ""Serum""], {""adipokines/inflammatory factors"": null}","[""MRI"", ""Serum""]","{""adipokines/inflammatory factors"": null}"
"32563597",NULL,NULL,"[""text""]"
"32568199","[""Telepresence""], [""telepresence devices"", ""known individuals"", ""fully automated and intelligent interlocutors""]","[""Telepresence""]","[""telepresence devices"", ""known individuals"", ""fully automated and intelligent interlocutors""]"
"32568668","[""T1-precontrast"", ""Fluid Attenuated Inversion Recovery (FLAIR)"", ""T1-postcontrast""], [""T1-precontrast"", ""Fluid attenuated inversion recovery (FLAIR)"", ""T1-postcontrast""]","[""T1-precontrast"", ""Fluid Attenuated Inversion Recovery (FLAIR)"", ""T1-postcontrast""]","[""T1-precontrast"", ""Fluid attenuated inversion recovery (FLAIR)"", ""T1-postcontrast""]"
"32570691",NULL,"[""Patient Timestamp""]",NULL
"32571444",NULL,NULL,"{""image"": [""Centre for Human Brain Health, School of Psychology""], ""video"": null}"
"32571904","[""Behavioral"", ""Social"", ""Psychological""], [""Economic factors"", ""Social factors"", ""Psychological factors""]","[""Behavioral"", ""Social"", ""Psychological""]","[""Economic factors"", ""Social factors"", ""Psychological factors""]"
"32580177","[""Computed Tomography"", ""Radiographs""], [""radiographs"", ""CTs""]","[""Computed Tomography"", ""Radiographs""]","[""radiographs"", ""CTs""]"
"32580207","[""Imaging""], [""image""]","[""Imaging""]","[""image""]"
"32581221","[""Magnetic Resonance Imaging"", ""Positron Emission Tomography"", ""Computed Tomography""], [""Imaging"", ""Computed Tomography""]","[""Magnetic Resonance Imaging"", ""Positron Emission Tomography"", ""Computed Tomography""]","[""Imaging"", ""Computed Tomography""]"
"32582542","[""Serum Tumor Markers""], [{""Text"": ""Serum tumor markers"", ""Label"": """", ""NlmCategory"": """"}]","[""Serum Tumor Markers""]","[{""Text"": ""Serum tumor markers"", ""Label"": """", ""NlmCategory"": """"}]"
"32583617","[""Computed Tomography"", ""Dynamic Susceptibility Contrast Perfusion-Weighted MRI""], [""CTP"", ""PWI""]","[""Computed Tomography"", ""Dynamic Susceptibility Contrast Perfusion-Weighted MRI""]","[""CTP"", ""PWI""]"
"32591639","[""Genomics"", ""Protein-protein interaction analysis""], [""Molecular"", ""Imaging""]","[""Genomics"", ""Protein-protein interaction analysis""]","[""Molecular"", ""Imaging""]"
"32591889","[""Magnetic Resonance Imaging""], [""MRI"", ""PSA""]","[""Magnetic Resonance Imaging""]","[""MRI"", ""PSA""]"
"32592462",NULL,"[""3D genome"", ""DNA loci""]",NULL
"32594794","[""Blood Pressure""], [""Blood Pressure Readings""]","[""Blood Pressure""]","[""Blood Pressure Readings""]"
"32597194","[""RNA""], [""RNA"", ""miRNA"", ""mRNA""]","[""RNA""]","[""RNA"", ""miRNA"", ""mRNA""]"
"32599279","[""CT"", ""MRI""], [""Image""]","[""CT"", ""MRI""]","[""Image""]"
"32599552","[""Arterial Spin Labelling (ASL)"", ""Blood Oxygen Level Dependent (BOLD)""], [""Arterial Spin Labelled fMRI"", ""Blood Oxygen Level Dependent (BOLD) fMRI""]","[""Arterial Spin Labelling (ASL)"", ""Blood Oxygen Level Dependent (BOLD)""]","[""Arterial Spin Labelled fMRI"", ""Blood Oxygen Level Dependent (BOLD) fMRI""]"
"32601678","[""upper limb motor recovery""], [""Upper limb motor recovery""]","[""upper limb motor recovery""]","[""Upper limb motor recovery""]"
"32602222","[""US""], [""Image"", ""Text""]","[""US""]","[""Image"", ""Text""]"
"32604080","[""Computed Tomography (CT)""], [""CT scans""]","[""Computed Tomography (CT)""]","[""CT scans""]"
"32605433","[""Electromyography""], [""Electromyography""]","[""Electromyography""]","[""Electromyography""]"
"32610095","[""Metagenomics"", ""Metabolomics""], [""stool microbiomes"", ""serum albumin levels"", ""age""]","[""Metagenomics"", ""Metabolomics""]","[""stool microbiomes"", ""serum albumin levels"", ""age""]"
"32611681","[""RNA""], [""RNA sequencing""]","[""RNA""]","[""RNA sequencing""]"
"32614505","[""T1-weighted magnetic resonance imaging (MRI)""], [""T1-weighted MRI images""]","[""T1-weighted magnetic resonance imaging (MRI)""]","[""T1-weighted MRI images""]"
"32615979","[""Robot-based"", null], [""motor"", ""sensory"", ""cognitive""]","[""Robot-based"", null]","[""motor"", ""sensory"", ""cognitive""]"
"32616912","[""Computed Tomography""], [""Textural analyses""]","[""Computed Tomography""]","[""Textural analyses""]"
"32617525",NULL,NULL,NULL
"32622121","[""CT scans"", ""dosimetry data""], [""Imaging data (CT scans), Dosimetry data""]","[""CT scans"", ""dosimetry data""]","[""Imaging data (CT scans), Dosimetry data""]"
"32623366","[""accelerometry""], [""9-axis inertial sensor data""]","[""accelerometry""]","[""9-axis inertial sensor data""]"
"32627049","[""CT""], [""CT""]","[""CT""]","[""CT""]"
"32634140","[""Digital adherence monitoring"", ""Unmanned aerial vehicles (drones)""], [""Drones"", ""Digital Adherence Monitoring Technologies""]","[""Digital adherence monitoring"", ""Unmanned aerial vehicles (drones)""]","[""Drones"", ""Digital Adherence Monitoring Technologies""]"
"32635216","[""PET/CT""], [""PET"", ""CT""]","[""PET/CT""]","[""PET"", ""CT""]"
"32636008","[""Electromyography""], [""Muscle activity"", ""Wrist movement""]","[""Electromyography""]","[""Muscle activity"", ""Wrist movement""]"
"32636768","[""Cognitive and mood measures"", ""Neuropsychological measures""], [""Cognitive, mood, social cognition""]","[""Cognitive and mood measures"", ""Neuropsychological measures""]","[""Cognitive, mood, social cognition""]"
"32637418",NULL,NULL,NULL
"32640028",NULL,NULL,"[""Gram-negative bacteria""]"
"32641740","[""Inertial Measurement Units""], [""IMUs""]","[""Inertial Measurement Units""]","[""IMUs""]"
"32645927","[""Plasma"", ""Urine""], [""plasma"", ""urine""]","[""Plasma"", ""Urine""]","[""plasma"", ""urine""]"
"32646685","[""Ultrasound""], [""ultrasound""]","[""Ultrasound""]","[""ultrasound""]"
"32649890","[""CT scans""], [""3D_image_data"", ""Anatomical_features""]","[""CT scans""]","[""3D_image_data"", ""Anatomical_features""]"
"32650152","[""EEG""], [""Electroencephalogram""]","[""EEG""]","[""Electroencephalogram""]"
"32651401",NULL,NULL,"[""temporal data"", ""physiological signals""]"
"32655572","[""MHC-associated peptide proteomics""], [""MHC-associated peptide proteomics (MAPPs) assays""]","[""MHC-associated peptide proteomics""]","[""MHC-associated peptide proteomics (MAPPs) assays""]"
"32658741","[""Ultrasound""], [""Ultrasound""]","[""Ultrasound""]","[""Ultrasound""]"
"32662055","[""CT""], [""Dynamic CT angiography""]","[""CT""]","[""Dynamic CT angiography""]"
"32664955","[""Visual"", ""Motor""], [""Visual"", ""Haptic""]","[""Visual"", ""Motor""]","[""Visual"", ""Haptic""]"
"32670113","[""Functional MRI"", ""Structural MRI""], [""functional MRI (fMRI)""]","[""Functional MRI"", ""Structural MRI""]","[""functional MRI (fMRI)""]"
"32672513","[""Motor and sensory impairments""], [""motor"", ""sensory""]","[""Motor and sensory impairments""]","[""motor"", ""sensory""]"
"32673230","[""Text""], {""text"": null}","[""Text""]","{""text"": null}"
"32674043","[""PET""], [""PET""]","[""PET""]","[""PET""]"
"32678722","[], [""Image"", ""Text""]","[]","[""Image"", ""Text""]"
"32681101",NULL,NULL,"[""cognitive function"", ""neural organisation""]"
"32682223","[""Neural recordings"", ""Robotics""], [""Intracortical neural recordings""]","[""Neural recordings"", ""Robotics""]","[""Intracortical neural recordings""]"
"32682719",NULL,"[""Imaging"", ""Cardiology""]",NULL
"32686118","[""Imaging"", ""Pathology""], [""Image""]","[""Imaging"", ""Pathology""]","[""Image""]"
"32686236","[""selfie pictures""], [""Image"", ""Text""]","[""selfie pictures""]","[""Image"", ""Text""]"
"32686506",NULL,NULL,NULL
"32686681",NULL,NULL,"[""speech""]"
"32687564",NULL,NULL,NULL
"32688049","[""MRI""], MRI","[""MRI""]","MRI"
"32688204","[""reconstruction""], [""Image"", ""Text""]","[""reconstruction""]","[""Image"", ""Text""]"
"32696007","[""blood""], [""immunoassays"", ""machine learning""]","[""blood""]","[""immunoassays"", ""machine learning""]"
"32701148","[""Laboratory""], [""text"", ""image""]","[""Laboratory""]","[""text"", ""image""]"
"32701655","[""Diffusion tensor imaging"", ""Tractography""], [""Diffusion tensor imaging"", ""Gaussian process classification""]","[""Diffusion tensor imaging"", ""Tractography""]","[""Diffusion tensor imaging"", ""Gaussian process classification""]"
"32703973","[""Computed Tomography"", ""Positron Emission Tomography""], [""Computed Tomography"", ""Positron Emission Tomography""]","[""Computed Tomography"", ""Positron Emission Tomography""]","[""Computed Tomography"", ""Positron Emission Tomography""]"
"32704450","[], [""Text""]","[]","[""Text""]"
"32710834",NULL,NULL,"[{""ForeName"": ""Jaewoo"", ""Initials"": ""J"", ""LastName"": ""Kang""}, {""ForeName"": ""Yuanfang"", ""Initials"": ""Y"", ""LastName"": ""Guan""}]"
"32715024","[""Histopathology""], [""histological"", ""radiological""]","[""Histopathology""]","[""histological"", ""radiological""]"
"32716959","[""Ultrasound""], [""Text Data"", ""Image Data""]","[""Ultrasound""]","[""Text Data"", ""Image Data""]"
"32719123",NULL,NULL,NULL
"32719375",NULL,NULL,"[{""Department of Anesthesiology, Perioperative and Pain Medicine, Stanford University, Stanford, USA"": [""Audio"", ""Text""]}, {""Department of Pediatrics, Stanford University, Stanford, USA"": [""Video"", ""Image""]}]"
"32720232","[""None""], [""Psychiatry"", ""Medicine""]","[""None""]","[""Psychiatry"", ""Medicine""]"
"32720647","[""GPS""], [""GPS data""]","[""GPS""]","[""GPS data""]"
"32732917","[""transcriptome"", ""brain imaging""], [""Image"", ""Text""]","[""transcriptome"", ""brain imaging""]","[""Image"", ""Text""]"
"32732967","[""Questionnaire"", ""Observation Schedule""], [""social"", ""communication""]","[""Questionnaire"", ""Observation Schedule""]","[""social"", ""communication""]"
"32734760","[""Text""], [{""modality"": """"}]","[""Text""]","[{""modality"": """"}]"
"32740935","[""IMAGE""], [""Image acquisition""]","[""IMAGE""]","[""Image acquisition""]"
"32743554","[""miRNA""], [""miRNA"", ""microRNA""]","[""miRNA""]","[""miRNA"", ""microRNA""]"
"32746967","[""fMRI"", ""BOLD""], [{""Tags"": [""fMRI BOLD signal""], ""Modality"": ""fMRI""}, {""Tags"": [""Hurts exponent (H) model""], ""Modality"": ""Computational modeling""}]","[""fMRI"", ""BOLD""]","[{""Tags"": [""fMRI BOLD signal""], ""Modality"": ""fMRI""}, {""Tags"": [""Hurts exponent (H) model""], ""Modality"": ""Computational modeling""}]"
"32749585","[""MRI"", ""CT""], [""MRI"", ""CT""]","[""MRI"", ""CT""]","[""MRI"", ""CT""]"
"32750012","[""Text""], [""text""]","[""Text""]","[""text""]"
"32754898","[""Biochemical"", ""Immune""], [{""tags"": [""research articles""], ""modality_name"": ""Text data""}, {""tags"": [], ""modality_name"": ""Image data""}]","[""Biochemical"", ""Immune""]","[{""tags"": [""research articles""], ""modality_name"": ""Text data""}, {""tags"": [], ""modality_name"": ""Image data""}]"
"32758450",NULL,NULL,NULL
"34010050",NULL,NULL,"[""text"", null]"
"32758649","[""Magnetic Resonance Imaging"", ""Ultraviolet Fluorescence"", ""Ultrasonography""], [""magnetic resonance imaging"", ""ultraviolet fluorescence""]","[""Magnetic Resonance Imaging"", ""Ultraviolet Fluorescence"", ""Ultrasonography""]","[""magnetic resonance imaging"", ""ultraviolet fluorescence""]"
"32761917","[""Computed Tomography (CT)""], [""CT scans""]","[""Computed Tomography (CT)""]","[""CT scans""]"
"32767763","[""Imaging"", ""Electroencephalography"", ""Pathology"", ""Digital technologies""], [{""modality_name"": ""EEG"", ""used_in_paper"": true}, {""modality_name"": ""MRI"", ""used_in_paper"": true}]","[""Imaging"", ""Electroencephalography"", ""Pathology"", ""Digital technologies""]","[{""modality_name"": ""EEG"", ""used_in_paper"": true}, {""modality_name"": ""MRI"", ""used_in_paper"": true}]"
"32770269","[""Audio""], [""Audio""]","[""Audio""]","[""Audio""]"
"32770817","[""Age"", ""General adiposity (BMI)"", ""Visceral adiposity (Waist-to-Height Ratio, a Body Shape Index)"", ""Vital signs (systolic blood pressure, diastolic blood pressure, pulse)""], [""vital signs"", ""adiposity indexes""]","[""Age"", ""General adiposity (BMI)"", ""Visceral adiposity (Waist-to-Height Ratio, a Body Shape Index)"", ""Vital signs (systolic blood pressure, diastolic blood pressure, pulse)""]","[""vital signs"", ""adiposity indexes""]"
"32771618","[""fMRI"", ""task-activation""], [""fMRI"", ""task-activation""]","[""fMRI"", ""task-activation""]","[""fMRI"", ""task-activation""]"
"32771686","[""Electronic medical record data""], [""Medical records""]","[""Electronic medical record data""]","[""Medical records""]"
"32775335",NULL,NULL,"health care systems, cancer, antimicrobial resistance, primary care"
"32776345","[""Text""], [""Text"", ""Numeric""]","[""Text""]","[""Text"", ""Numeric""]"
"32797086","[""intraductal""], [""text""]","[""intraductal""]","[""text""]"
"32803448","[""Breathing Sounds""], [""Breathing sounds""]","[""Breathing Sounds""]","[""Breathing sounds""]"
"32809874","[""Biomarkers"", ""Inflammatory biomarkers""], [""Text""]","[""Biomarkers"", ""Inflammatory biomarkers""]","[""Text""]"
"32816765","[""MRI"", ""CT Scan""], [""image"", ""text""]","[""MRI"", ""CT Scan""]","[""image"", ""text""]"
"32818081","[""Optical Coherence Tomography Angiography"", ""Image""], [""Image"", ""Enface images""]","[""Optical Coherence Tomography Angiography"", ""Image""]","[""Image"", ""Enface images""]"
"32819467","[""ECG"", ""Clinical features""], [""ECG""]","[""ECG"", ""Clinical features""]","[""ECG""]"
"32819981","[""Text""], [""text messaging""]","[""Text""]","[""text messaging""]"
"32823970","[""2D descriptors""], [""2D descriptors""]","[""2D descriptors""]","[""2D descriptors""]"
"32826891","[null], []","[null]","[]"
"32832912","[""Routine clinical data""], [""text"", ""machine learning""]","[""Routine clinical data""]","[""text"", ""machine learning""]"
"32833747",NULL,NULL,"[]"
"32834174",NULL,NULL,"[""Text""]"
"32834831","[""Wearable sensors""], [""symptoms""]","[""Wearable sensors""]","[""symptoms""]"
"32840766","[""Blood biochemistry (CBC, LFTs, RFTs) results"", ""Clinical variables""], [""Text"", ""Table""]","[""Blood biochemistry (CBC, LFTs, RFTs) results"", ""Clinical variables""]","[""Text"", ""Table""]"
"32843633","[""Images"", ""Brain scans""], [""images"", ""text""]","[""Images"", ""Brain scans""]","[""images"", ""text""]"
"32845061","[""Biological"", ""Clinical""], [""text""]","[""Biological"", ""Clinical""]","[""text""]"
"32845249",NULL,NULL,"[""medical imaging"", ""text""]"
"32848533","[""Functional MRI""], [""fMRI""]","[""Functional MRI""]","[""fMRI""]"
"32849918","[""Imaging""], [{""type"": [""MRI""], ""features"": 135}]","[""Imaging""]","[{""type"": [""MRI""], ""features"": 135}]"
"32852320",NULL,NULL,"[""Clinical data"", ""Medical diagnosis""]"
"32853182",NULL,NULL,"[]"
"32854798",NULL,"[""Electronic Health Records"", ""Health Administrative Data""]",NULL
"32855842","[""Retinal OCT-A""], [""retinal imaging"", ""angiography""]","[""Retinal OCT-A""]","[""retinal imaging"", ""angiography""]"
"32859912","[""Whole genomes""], [""Whole genome sequencing""]","[""Whole genomes""]","[""Whole genome sequencing""]"
"32862015","[""Computed Tomography (CT)""], [""Image data"", ""Text data""]","[""Computed Tomography (CT)""]","[""Image data"", ""Text data""]"
"32864270","[""Chest X-ray images""], [""X-ray""]","[""Chest X-ray images""]","[""X-ray""]"
"32864596","[""Computed Tomography (CT)"", ""Clinical Information""], [""CT"", null]","[""Computed Tomography (CT)"", ""Clinical Information""]","[""CT"", null]"
"32880697","[""Medical Imaging""], [{""Modality"": ""Images""}, {""Modality"": ""Clinical data""}]","[""Medical Imaging""]","[{""Modality"": ""Images""}, {""Modality"": ""Clinical data""}]"
"32887670",NULL,NULL,"[]"
"32888727",NULL,NULL,"[{""Modality"": ""Force""}, {""Modality"": ""Torque""}]"
"32900610","[""Vision"", ""Gait""], [""Vision-based markerless motion capture""]","[""Vision"", ""Gait""]","[""Vision-based markerless motion capture""]"
"32903670","[""Visual"", ""Audio""], [{""Modality"": ""Spatial presence""}, {""Modality"": ""Engagement""}]","[""Visual"", ""Audio""]","[{""Modality"": ""Spatial presence""}, {""Modality"": ""Engagement""}]"
"32904064","[""Proteomics"", ""Blood sample""], [""Protein""]","[""Proteomics"", ""Blood sample""]","[""Protein""]"
"32908645",NULL,NULL,NULL
"32915810","[""Respiratory inductance plethysmography""], [""Respiratory signals""]","[""Respiratory inductance plethysmography""]","[""Respiratory signals""]"
"32919184","[""Anthropometric parameters"", ""Surgical data""], [""anthropometric parameters"", ""machine-learning models""]","[""Anthropometric parameters"", ""Surgical data""]","[""anthropometric parameters"", ""machine-learning models""]"
"32920800","[""physical"", ""motion analysis""], [""Physical"", ""Motion""]","[""physical"", ""motion analysis""]","[""Physical"", ""Motion""]"
"32927257","[""3-D""], [""Computed Tomography"", ""Magnetic Resonance Imaging""]","[""3-D""]","[""Computed Tomography"", ""Magnetic Resonance Imaging""]"
