pid,diseases,modalities,disease_list,refined_general_category_final,stemmed_modalities,modality_category
38108259,"[""Obstructive Coronary Artery Disease (CAD)""]","[""Coronary Calcium Score (CAC)"", ""age"", ""sex"", ""chest pain"", ""computed tomography angiography (CCTA)""]",['Obstructive Coronary Artery Disease (CAD)'],Cardiovascular and Vascular Diseases,"['coronari calcium score ( cac )', 'age', 'sex', 'chest pain', 'comput tomographi angiographi ( ccta )']",Imaging Data
38149177,"[""Narcolepsy Type 1"", ""Narcolepsy Type 2"", ""Hypersomnolence""]","[""Sleep disorder diagnostic data"", ""Narcolepsy symptoms"", ""Epworth Sleepiness Scale"", ""Cataplexy"", ""Sleep Paralysis""]","['Narcolepsy Type 1', 'Narcolepsy Type 2', 'Hypersomnolence']",Neurological Disorders,"['sleep disord diagnost data', 'narcolepsi symptom', 'epworth sleepi scale', 'cataplexi', 'sleep paralysi']",Neurophysiological Data
38212349,"[""Major Depressive Disorder""]","[""cortical measures"", ""subcortical measures"",""structural T1-weighted MRI"", ""MRI""]",['Major Depressive Disorder'],Psychiatric and Mental Health Disorders,"['cortic measur', 'subcort measur', 'structur t1-weight mri', 'mri']",Imaging Data
38156913,"[""Critically Ill"", ""Mechanical Ventilation""]","[""Nutritional Practice Survey"", ""Clinical Outcomes"", ""Mortality""]","['Critically Ill', 'Mechanical Ventilation']",Critical Care,"['nutrit practic survey', 'clinic outcom', 'mortal']",Self-reported & Survey Data
38161988,"[""Pertussis""]","[""Electronic Medical Records""]",['Pertussis'],Infectious Diseases,['electron medic record'],Clinical and Health Records
38186562,"[""chronic kidney disease""]","[""Electronic health records"", ""Administrative data""]",['chronic kidney disease'],Kidney and Renal Diseases,"['electron health record', 'administr data']",Clinical and Health Records
38193866,"[""colorectal cancer""]","[""Pathology data"",""histological tumour type"", ""lymphovascular invasion"", ""tumour grade""]",['colorectal cancer'],Cancer and Oncology,"['patholog data', 'histolog tumour type', 'lymphovascular invas', 'tumour grade']",Laboratory Data
38195644,"[""lung cancer""]","[""CT imaging"", ""radiomics""]",['lung cancer'],Respiratory and Lung Conditions,"['ct imag', 'radiom']",Imaging Data
38234807,"[""Progressive Supranuclear Palsy""]","["" Whole-Genome Sequencing (WGS)""]",['Progressive Supranuclear Palsy'],Neurological Disorders,['whole-genom sequenc ( wg )'],Genomic and Molecular Data
38384277,"[""Parkinson's disease""]","[""MRI"",""T1-weighted brain MRI"",""3D medical images""]","[""Parkinson's disease""]",Neurological Disorders,"['mri', 't1-weight brain mri', '3d medic imag']",Imaging Data
38387384,"[""asthma""]","[""respiratory sounds"",""audio""]",['asthma'],Respiratory and Lung Conditions,"['respiratori sound', 'audio']",Neurophysiological Data
38290583,"[""Major Depressive Disorder"", ""Mental Illness""]","[""Structural Neuroimaging"", ""MRI""]","['Major Depressive Disorder', 'Mental Illness']",Neurological Disorders,"['structur neuroimag', 'mri']",Imaging Data
38316811,"[""peripheral artery disease (PAD)""]","[""Pre-operative demographic/clinical variables""]",['peripheral artery disease (PAD)'],Cardiovascular and Vascular Diseases,['pre-op demographic/clin variabl'],Clinical and Health Records
38326559,"[""Obsessive-Compulsive Disorder""]","[""diffusion tensor imaging"", ""MRI""]",['Obsessive-Compulsive Disorder'],Neurological Disorders,"['diffus tensor imag', 'mri']",Imaging Data
38332374,"[""psychosis"", ""schizophrenia""]","[""structural MRI""]","['psychosis', 'schizophrenia']",Psychiatric and Mental Health Disorders,['structur mri'],Imaging Data
38355486,"[""acute kidney injury"", ""hyperkalemia"", ""hypoglycemia"", ""hyponatremia"", ""anemia"", ""neutropenia"", ""thrombocytopenia""]","[""electronic health records (EHRs)""]","['acute kidney injury', 'hyperkalemia', 'hypoglycemia', 'hyponatremia', 'anemia', 'neutropenia', 'thrombocytopenia']",Endocrine and Metabolic Disorders,['electron health record ( ehr )'],Clinical and Health Records
38370787,"[""COVID-19""]","[""electronic health records (EHRs)"", ""CT scans"", ""chest X-rays"",""laboratory data""]",['COVID-19'],Respiratory and Lung Conditions,"['electron health record ( ehr )', 'ct scan', 'chest x-ray', 'laboratori data']",Clinical and Health Records
38937550,"[""General Clinical Predictions"", ""In-hospital Mortality"", ""Hypoglycemia"", ""Hyponatremia"", ""Hyperkalemia"", ""Thrombocytopenia"", ""Anemia""]","[""Electronic Health Records (EHR)""]","['General Clinical Predictions', 'In-hospital Mortality', 'Hypoglycemia', 'Hyponatremia', 'Hyperkalemia', 'Thrombocytopenia', 'Anemia']",Endocrine and Metabolic Disorders,['electron health record ( ehr )'],Clinical and Health Records
38402362,"[""atrial fibrillation""]","[""EHR"", ""Lab data""]",['atrial fibrillation'],Cardiovascular and Vascular Diseases,"['ehr', 'lab data']",Clinical and Health Records
38418987,"[""COVID-19"", ""bacterial pneumonia"", ""viral pneumonia""]","[""X-ray"", ""CT scan""]","['COVID-19', 'bacterial pneumonia', 'viral pneumonia']",Respiratory and Lung Conditions,"['x-ray', 'ct scan']",Imaging Data
37999728,"[""abdominal aortic aneurysm (AAA)""]","[""CT scans""]",['abdominal aortic aneurysm (AAA)'],Cardiovascular and Vascular Diseases,['ct scan'],Imaging Data
38075554,"[""chronic spontaneous urticaria""]","[""Electronic Health Records""]",['chronic spontaneous urticaria'],Other,['electron health record'],Clinical and Health Records
38441539,"[""psychosis"", ""schizophrenia"", ""mental disorders""]","[""genetic data"", ""self-reported measures"", ""parent-reported measures"", ""cognitive assessments""]","['psychosis', 'schizophrenia', 'mental disorders']",Psychiatric and Mental Health Disorders,"['genet data', 'self-report measur', 'parent-report measur', 'cognit assess']",Genomic and Molecular Data
38777894,"[""colorectal cancer"", ""diverticular disease"", ""inflammatory bowel disease""]","[""demographic data"", ""clinical data""]","['colorectal cancer', 'diverticular disease', 'inflammatory bowel disease']",Cancer and Oncology,"['demograph data', 'clinic data']",Clinical and Health Records
38639373,"[""Peripheral Artery Disease""]","[""Clinical Data""]",['Peripheral Artery Disease'],Cardiovascular and Vascular Diseases,['clinic data'],Clinical and Health Records
38651539,"[""Oral Cancer""]","[""Electronic Health Records""]",['Oral Cancer'],Cancer and Oncology,['electron health record'],Clinical and Health Records
38664377,"[""schizophrenia""]","[""Structural MRI"", ""Clinical"", ""Sociodemographic"", ""Genetic""]",['schizophrenia'],Psychiatric and Mental Health Disorders,"['structur mri', 'clinic', 'sociodemograph', 'genet']",Imaging Data
38679324,"[""Major Depressive Disorder""]","[""Structural MRI (sMRI)"",""Clinical data"",""Neurocognitive assessments""]",['Major Depressive Disorder'],Psychiatric and Mental Health Disorders,"['structur mri ( smri )', 'clinic data', 'neurocognit assess']",Clinical and Health Records
38704793,"[""prostate cancer""]","[""ultrasound""]",['prostate cancer'],Cancer and Oncology,['ultrasound'],Imaging Data
38706783,"[""venous thromboembolism""]","[""Clinical data""]",['venous thromboembolism'],Respiratory and Lung Conditions,['clinic data'],Clinical and Health Records
38772191,"[""interstitial lung disease""]","[""computed tomography"",""CT""]",['interstitial lung disease'],Respiratory and Lung Conditions,"['comput tomographi', 'ct']",Imaging Data
38807510,"[""chronic kidney disease""]","[""Clinical data"",""Laboratory data""]",['chronic kidney disease'],Kidney and Renal Diseases,"['clinic data', 'laboratori data']",Clinical and Health Records
38902526,"[""Prostate Cancer"", ""Clinically Significant Prostate Cancer (csPCa)""]","[""Blood-based Biomarkers"", ""Clinical Biomarker Data""]","['Prostate Cancer', 'Clinically Significant Prostate Cancer (csPCa)']",Cancer and Oncology,"['blood-bas biomark', 'clinic biomark data']",Genomic and Molecular Data
38906883,"[""major depressive disorder""]","[""clinical data"", ""sociodemographic data"", ""Treatment response data""]",['major depressive disorder'],Psychiatric and Mental Health Disorders,"['clinic data', 'sociodemograph data', 'treatment respons data']",Clinical and Health Records
38951965,"[""femoral neck fractures""]","[""Clinical data"",""Laboratory data""]",['femoral neck fractures'],Musculoskeletal and Rheumatic Disorders,"['clinic data', 'laboratori data']",Clinical and Health Records
